COSTT4_A,MD_EARN_WNE_P10
24912,29288
25958,45411
14685,35552
28108,58327
74110,89718
64975,58826
11406,38224
44151,59224
24517,54211
11576,39711
14990,43062
46294,52228
46368,56955
12880,41276
82532,78354
13579,35563
32765,46238
63645,56878
24231,49634
26348,56906
35804,52946
21900,32672
23759,41871
22981,53040
11720,42727
11400,38678
13580,34647
22262,51450
32085,72097
25265,63199
29842,75121
28210,68227
19327,50923
23669,57053
72778,68424
20832,33752
47548,53863
21727,56073
21474,57131
24899,38924
27472,62454
50619,54053
20399,56544
65774,71668
15881,38140
13676,40464
11112,42382
34762,51838
15148,42397
23383,50741
12444,42508
10406,44960
20322,33159
20879,75790
22970,52064
19660,44570
33925,37518
13892,50630
12190,41022
19512,50296
21050,54022
15172,55486
12884,47867
21799,67170
16172,56287
56801,66215
82968,38289
63000,58386
16717,36234
36263,25552
82260,76310
65098,65575
67174,61317
52300,30573
30074,50331
35116,62472
25540,46342
51456,51516
15437,42644
41806,48896
56195,53453
41118,73490
30550,44498
11638,36627
32242,60509
22769,32568
13076,34293
14060,31664
32123,25930
52311,47385
54378,54869
11859,32418
54506,44296
26972,76343
12278,39644
67129,67640
45968,59159
57481,40075
11919,39529
30213,69954
11686,41223
41707,44813
32870,52347
11552,41000
48300,56380
31771,60122
44435,44427
29234,60613
55748,67516
14516,32622
24065,26370
13477,40025
29882,31657
26093,44666
15821,53557
27180,54914
11242,33323
11678,36031
12435,40752
26681,53739
61174,58448
43838,53409
12149,36121
35941,32754
19405,41452
77290,76178
29743,66072
54059,58047
50500,58433
33066,50002
13401,32371
15885,34221
41832,51943
12945,37996
15291,38349
24315,45325
11985,32681
32040,81698
11892,38787
34346,58128
38132,86863
33738,77369
25548,28396
24173,45543
34960,38275
51192,50074
82990,94810
11952,34303
19798,56310
14885,49748
19691,43814
25148,61580
17550,43140
35049,69460
17485,42356
13974,41787
17357,46680
55150,33696
22772,57897
20380,48144
19569,45434
25934,45320
17048,47532
69290,78892
13677,40865
20074,50712
29632,49416
19642,47869
15805,50051
15351,50669
16748,40691
16377,47728
48442,54914
15380,43169
62921,66990
13974,37078
75509,69594
15067,49782
56353,62092
15497,44486
15104,43307
53986,64506
68633,75272
18499,52009
14326,43505
17864,45039
14083,41984
14536,38955
16197,47168
17580,43526
44075,61885
27176,68905
30282,78466
20346,41127
28305,62569
18173,44092
75042,67589
65711,58561
19374,43499
29451,37467
49137,44512
20747,38217
44031,55774
18969,42703
44322,43411
18091,46857
22974,39315
16788,21783
21299,46354
10643,35171
15593,55939
21792,34642
19863,49358
15702,32153
19906,40492
23526,43296
18343,55939
47374,51593
22745,27472
24486,31912
11196,30162
23678,55939
41265,57949
44163,53145
17215,45413
32000,76222
68653,53260
15114,41620
49935,58009
47980,56950
51718,56075
48450,59728
15647,45684
14604,40264
45751,55961
14163,47113
67824,55789
33496,45593
40733,53501
63233,78257
15448,42253
17209,41113
52646,41174
60439,89070
14095,44371
47328,48745
14084,38643
15897,44925
15603,44553
54375,44560
61495,54902
56194,58363
15282,43470
44123,55660
16283,46297
14281,46894
15548,45303
18661,55356
14116,43406
21014,58561
18161,52528
18115,60378
47026,54664
19063,55548
16768,51129
26687,36909
21618,58084
18415,49606
27770,73792
22174,54990
20049,61760
19576,54458
18804,52021
13593,40935
17894,34402
14943,37121
12722,44783
15710,36950
15914,40477
15333,40939
22371,56880
10560,30087
10615,27820
15155,35946
9939,27836
10472,17172
14855,28465
12363,25272
11164,25021
12377,23134
19676,41544
9748,22842
10784,22842
16058,24908
17106,24908
18668,21033
14285,23536
6362,26510
14154,24490
7920,19474
13701,22844
8277,21790
5684,26293
14265,22927
9849,20064
13056,18694
13419,18694
9568,26293
4274,26293
15442,25416
14449,24776
14628,24539
14358,23204
15252,30821
14845,26721
14991,23132
15791,25827
14935,29936
23374,26733
13778,24785
14727,27997
18320,30512
12527,34409
21072,30626
15746,30958
19404,29521
18868,23906
19190,48992
14399,31394
13337,35723
13837,24328
19550,31754
14697,31468
21894,47540
15334,24908
14081,26223
10519,24651
9408,29898
16582,38681
82162,124080
22567,72424
35819,42091
12983,22844
13170,18694
16117,47384
15977,34619
10510,43359
53018,44985
30612,46116
10911,37448
13425,35951
32665,37114
31514,29392
14375,44664
81895,29813
14409,48701
12483,35798
27999,42837
25358,30224
15304,30819
27501,42785
30912,29392
15417,36597
31298,34421
16228,24302
33216,40669
44255,77602
30552,37871
13249,42422
33365,65703
20732,48082
11547,32461
18200,30667
10042,22842
9920,22842
31353,50719
19032,47196
17377,51111
32595,52567
43890,37786
13607,24555
11626,49907
14810,51088
15527,31248
32615,31349
27949,36155
21144,62908
20798,27065
18840,27182
10593,43505
28157,37052
26846,35113
15292,30329
30150,61574
26177,28725
26326,34432
31214,36368
18269,36545
27834,31349
18485,21033
31426,31349
31875,25930
32531,25930
30217,31167
24462,78466
24528,78466
41495,26209
11801,30048
18557,45665
14696,35447
34045,39645
14687,38382
26643,32754
15161,34891
11194,38550
68815,29420
17366,44356
15314,40768
21791,34961
31149,30224
36311,47597
23916,24366
26011,36909
20532,39260
16105,33281
12617,44956
33835,53598
52758,55017
16961,37533
17091,37533
16639,37533
24840,35529
18426,40420
8611,44349
35084,61480
34745,61480
33531,33928
7505,36788
26017,59247
31495,31349
22029,42189
16327,25853
17377,24967
47478,26209
21976,57165
12623,38752
36105,35994
27592,60918
26199,29463
46071,62185
46556,31601
21888,49073
12023,24632
11600,49130
21990,41223
20438,32286
12172,24632
12588,24632
12026,24632
32162,25930
10864,42490
12105,30899
14164,44873
15406,34238
18278,44440
35067,34657
55473,26921
29693,35008
29993,38830
24015,84131
26469,44173
30499,25930
42393,41200
15769,34357
23838,40092
38099,45439
8654,25707
34135,68337
32366,40669
47250,35036
14464,60615
44854,38361
26702,36909
18269,54560
15723,31432
33766,27531
9740,39541
13178,43729
19169,18044
10826,19761
15274,37848
26104,39556
20917,73997
21603,73997
27737,73997
16303,34581
33010,46079
22756,36144
15256,31636
34729,42759
20058,54133
34271,43946
25128,41471
30272,32886
29665,28506
12823,20902
19718,35558
38168,21937
29553,48191
28609,31349
15127,41524
15338,20231
19096,27182
33662,45577
27461,64010
37295,58004
29729,40843
33008,40743
24095,89548
35639,40805
12652,21410
10996,20691
14139,38991
29979,42375
23035,53166
24039,62152
81486,129455
41566,69731
23091,27472
19418,27065
22858,25787
14752,63496
8282,39229
20793,51006
41936,30737
58637,102672
28954,37474
27092,45538
51366,79878
13434,35132
11591,19761
20950,27182
23838,40092
23838,40092
12233,42568
15001,37709
30580,32195
22831,20854
9850,17162
43798,31156
15977,28951
20949,36144
25557,36144
37098,64368
31141,31349
33320,31349
20195,48991
39004,97827
55989,43418
31606,32886
29124,46441
43220,49520
24010,28190
30619,34577
26533,39217
31344,40650
12300,24290
23917,43264
50873,31758
8267,11998
25834,39544
24310,28865
21452,31853
33434,52374
10779,39293
28358,80980
33321,49841
11656,29073
18033,47730
43615,67739
31263,34577
24340,35418
18119,40292
24972,34104
24447,39080
28272,53788
23838,40092
24586,29534
18000,29534
11190,19761
16358,44409
48010,114785
30562,60311
35243,40359
33863,31071
26577,40823
31386,35933
33016,34421
33806,36368
30689,36368
23838,40092
24230,39080
18002,63534
42015,31548
32040,82560
21574,62526
18400,22432
23946,29648
25392,32568
26324,31349
37056,31349
8450,26293
36210,32886
29073,34577
33343,61480
36346,92405
38833,92405
39034,92405
22460,47792
29865,26652
11798,40042
29880,32886
51852,46264
14726,29384
32149,34509
21955,47540
23838,40092
27237,69020
24772,29534
34657,92405
20726,38062
28071,53341
24042,40523
12568,21123
26053,36432
38599,102672
51950,102672
34815,34726
23838,40092
23838,40092
23838,40092
33875,34421
33875,34421
27755,40803
23590,36909
25879,36909
21840,54338
23838,40092
34276,36368
25365,43418
12024,52133
12749,51206
31779,29392
13751,18694
41381,38880
29933,38830
19691,42269
24267,24581
62291,29633
13229,22340
47492,56930
25031,73997
51400,55552
41617,92405
39297,92405
11572,19761
31716,34421
26555,43185
38137,92405
41617,92405
19351,17360
18384,76813
33502,102672
29251,46573
27938,63435
31666,34421
20558,32568
32321,40669
28715,43137
24908,39080
36215,34421
22146,48472
20189,40863
31041,48191
41672,45987
39643,45987
39356,45987
38020,45987
33556,45987
18062,50135
16015,35697
32204,34657
11885,30848
13941,30438
29357,29392
17036,71588
19449,37752
10892,36432
18298,39257
42172,102672
9670,30214
24618,57552
49850,46641
44446,92405
27697,92405
41740,92405
78814,80137
11478,31293
32568,34509
26274,24576
20011,38916
36044,34657
34073,45025
30923,54914
22117,59986
27697,92405
17994,36596
29965,32864
16287,48318
31348,40669
33580,34726
34063,61480
14835,22844
41617,92405
19985,40694
24563,47327
39211,34657
16543,22844
14489,22844
31068,34509
23121,31912
25130,42759
33666,36920
25508,34104
36515,34657
42272,34657
32730,34657
38789,34657
31409,29392
27701,51953
34871,39645
34345,37518
26118,36909
33847,61480
28936,31349
19042,55736
31562,61480
31743,61480
35805,34657
31871,34657
30941,53341
20433,46573
36245,58759
38951,34657
54064,61480
54524,61480
47865,61480
49542,61480
79782,61480
38123,34657
43703,34657
42163,61480
25781,52416
27618,47295
